,words,tags,cased
0,"al - zaman : american forces killed shaikh abdullah al - ani , the preacher at the mosque in the town of qaim , near the syrian border .",PROPN PUNCT PROPN PUNCT ADJ NOUN VERB PROPN PROPN PROPN PUNCT PROPN PUNCT DET NOUN ADP DET NOUN ADP DET NOUN ADP PROPN PUNCT ADP DET ADJ NOUN PUNCT,"Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border ."
1,[ this killing of a respected cleric will be causing us trouble for years to come . ],PUNCT DET NOUN ADP DET ADJ NOUN AUX AUX VERB PRON NOUN ADP NOUN PART VERB PUNCT PUNCT,[ This killing of a respected cleric will be causing us trouble for years to come . ]
2,dpa : iraqi authorities announced that they had busted up 3 terrorist cells operating in baghdad .,PROPN PUNCT ADJ NOUN VERB SCONJ PRON AUX VERB ADP NUM ADJ NOUN VERB ADP PROPN PUNCT,DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .
3,two of them were being run by 2 officials of the ministry of the interior !,NUM ADP PRON AUX AUX VERB ADP NUM NOUN ADP DET PROPN ADP DET PROPN PUNCT,Two of them were being run by 2 officials of the Ministry of the Interior !
4,"the moi in iraq is equivalent to the us fbi , so this would be like having j. edgar hoover unwittingly employ at a high level members of the weathermen bombers back in the 1960s .",DET PROPN ADP PROPN AUX ADJ ADP DET PROPN PROPN PUNCT ADV PRON AUX VERB SCONJ VERB PROPN PROPN PROPN ADV VERB ADP DET ADJ NOUN NOUN ADP DET PROPN NOUN ADV ADP DET NOUN PUNCT,"The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s ."
5,the third was being run by the head of an investment firm .,DET ADJ AUX AUX VERB ADP DET NOUN ADP DET NOUN NOUN PUNCT,The third was being run by the head of an investment firm .
6,you wonder if he was manipulating the market with his bombing targets .,PRON VERB SCONJ PRON AUX VERB DET NOUN ADP PRON NOUN NOUN PUNCT,You wonder if he was manipulating the market with his bombing targets .
7,the cells were operating in the ghazaliyah and al - jihad districts of the capital .,DET NOUN AUX VERB ADP DET PROPN CCONJ PROPN PUNCT PROPN NOUN ADP DET NOUN PUNCT,The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .
8,"although the announcement was probably made to show progress in identifying and breaking up terror cells , i do n't find the news that the baathists continue to penetrate the iraqi government very hopeful .",SCONJ DET NOUN AUX ADV VERB PART VERB NOUN SCONJ VERB CCONJ VERB ADP NOUN NOUN PUNCT PRON AUX PART VERB DET NOUN SCONJ DET PROPN VERB PART VERB DET ADJ NOUN ADV ADJ PUNCT,"Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful ."
9,it reminds me too much of the arvn officers who were secretly working for the other side in vietnam .,PRON VERB PRON ADV ADV ADP DET PROPN NOUN PRON AUX ADV VERB ADP DET ADJ NOUN ADP PROPN PUNCT,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .
10,al - zaman : guerrillas killed a member of the kurdistan democratic party after kidnapping him in mosul .,PROPN PUNCT PROPN PUNCT NOUN VERB DET NOUN ADP DET PROPN PROPN PROPN SCONJ VERB PRON ADP PROPN PUNCT,Al - Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul .
11,"the police commander of ninevah province announced that bombings had declined 80 percent in mosul , whereas there had been a big jump in the number of kidnappings .",DET NOUN NOUN ADP PROPN PROPN VERB SCONJ NOUN AUX VERB NUM NOUN ADP PROPN PUNCT SCONJ PRON AUX VERB DET ADJ NOUN ADP DET NOUN ADP NOUN PUNCT,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings ."
12,on wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .,ADP PROPN NOUN AUX VERB DET ADJ NOUN CCONJ PRON NOUN SCONJ PRON AUX ADP PRON NOUN ADV PUNCT,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .
13,"in suwayrah , kut province , two car bombs were discovered before they could be detonated .",ADP PROPN PUNCT PROPN PROPN PUNCT NUM NOUN NOUN AUX VERB SCONJ PRON AUX AUX VERB PUNCT,"In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated ."
14,"( kut is in southeastern iraq and has an overwhelmingly shiite population , who are on the lookout for baathist saboteurs and willingly turn them in .",PUNCT PROPN AUX ADP ADJ PROPN CCONJ VERB DET ADV ADJ NOUN PUNCT PRON AUX ADP DET NOUN ADP PROPN NOUN CCONJ ADV VERB PRON ADP PUNCT,"( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in ."
15,this willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . ),DET NOUN AUX DET ADJ NOUN ADP DET NOUN ADP NOUN ADP DET NOUN SCONJ VERB ADP DET NOUN PUNCT NOUN ADP DET NOUN PUNCT PUNCT,This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . )
16,"in baghdad kadhim talal husain , assistant dean at the school of education at mustansiriyah university , was assassinated with his driver in the salikh district .",ADP PROPN PROPN PROPN PROPN PUNCT ADJ NOUN ADP DET PROPN ADP PROPN ADP PROPN PROPN PUNCT AUX VERB ADP PRON NOUN ADP DET PROPN NOUN PUNCT,"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district ."
17,"guerrillas killed an engineer , asi ali , from tikrit .",NOUN VERB DET NOUN PUNCT PROPN PROPN PUNCT ADP PROPN PUNCT,"Guerrillas killed an engineer , Asi Ali , from Tikrit ."
18,"they also killed shaikh hamid 'akkab , a clan elder of a branch of the dulaim tribe in tikrit .",PRON ADV VERB PROPN PROPN PROPN PUNCT DET NOUN NOUN ADP DET NOUN ADP DET PROPN NOUN ADP PROPN PUNCT,"They also killed Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe in Tikrit ."
19,his mother was also killed in the attack .,PRON NOUN AUX ADV VERB ADP DET NOUN PUNCT,His mother was also killed in the attack .
20,two other dulaim leaders have been killed in the past week and a half .,NUM ADJ PROPN NOUN AUX AUX VERB ADP DET ADJ NOUN CCONJ DET NOUN PUNCT,Two other Dulaim leaders have been killed in the past week and a half .
21,"guerrillas near hawijah launched an attack that left 6 dead , including 4 iraqi soldiers .",NOUN ADP PROPN VERB DET NOUN PRON VERB NUM ADJ PUNCT VERB NUM ADJ NOUN PUNCT,"Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers ."
22,one of them was from the jubur tribe and was deputy commander of the hawijah garrison .,NUM ADP PRON AUX ADP DET PROPN NOUN CCONJ AUX NOUN NOUN ADP DET PROPN NOUN PUNCT,One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison .
23,"two hundred members of the batawi clan of the dulaim demonstrated in baghdad on friday , protesting the killing of their clan elder , shaikh kadhim sarhid and 4 of his sons , by gunmen wearing iraqi army uniforms .",NUM NUM NOUN ADP DET PROPN NOUN ADP DET PROPN VERB ADP PROPN ADP PROPN PUNCT VERB DET NOUN ADP PRON NOUN NOUN PUNCT PROPN PROPN PROPN CCONJ NUM ADP PRON NOUN PUNCT ADP NOUN VERB ADJ NOUN NOUN PUNCT,"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday , protesting the killing of their clan elder , Shaikh Kadhim Sarhid and 4 of his sons , by gunmen wearing Iraqi army uniforms ."
24,"( this is a largely sunni arab clan , and some sunni observers have accused shiite elements in the government of being behind the assassination ; it is more likely the work of sunni arab guerrillas punishing the batawi leaders for cooperating with the dec. 15 elections . )",PUNCT PRON AUX DET ADV ADJ ADJ NOUN PUNCT CCONJ DET ADJ NOUN AUX VERB ADJ NOUN ADP DET NOUN SCONJ AUX ADP DET NOUN PUNCT PRON AUX ADV ADV DET NOUN ADP ADJ ADJ NOUN VERB DET PROPN NOUN SCONJ VERB ADP DET PROPN NUM NOUN PUNCT PUNCT,"( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections . )"
25,al - zaman : the iraqi high electoral commission on friday denied a request of the debaathification commission to exclude 51 individuals from running on party lists in the dec. 15 elections on grounds of having been sufficiently involved in baath activities to warrant their being excluded from civil office .,PROPN PUNCT PROPN PUNCT DET ADJ PROPN PROPN PROPN ADP PROPN VERB DET NOUN ADP DET PROPN PROPN PART VERB NUM NOUN SCONJ VERB ADP NOUN NOUN ADP DET PROPN NUM NOUN ADP NOUN SCONJ AUX AUX ADV ADJ ADP PROPN NOUN PART VERB PRON AUX VERB ADP ADJ NOUN PUNCT,Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .
26,the commission said it had no legal grounds for such an exclusion .,DET NOUN VERB PRON VERB DET ADJ NOUN ADP DET DET NOUN PUNCT,The Commission said it had no legal grounds for such an exclusion .
27,this item is a small one and easily missed .,DET NOUN AUX DET ADJ NOUN CCONJ ADV VERB PUNCT,This item is a small one and easily missed .
28,but in my view it is highly significant .,CCONJ ADP PRON NOUN PRON AUX ADV ADJ PUNCT,But in my view it is highly significant .
29,"the debaathification commission had been pushed by ahmad chalabi and his iraqi national congress very hard , and had pushed many sunni arabs into the arms of the guerrillas .",DET PROPN PROPN AUX AUX VERB ADP PROPN PROPN CCONJ PRON PROPN PROPN PROPN ADV ADV PUNCT CCONJ AUX VERB ADJ ADJ PROPN ADP DET NOUN ADP DET NOUN PUNCT,"The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas ."
30,"chalabi has been increasingly marginalized within iraq , however , despite his ties of clientelage with washington and tehran .",PROPN AUX AUX ADV VERB ADP PROPN PUNCT ADV PUNCT ADP PRON NOUN ADP NOUN ADP PROPN CCONJ PROPN PUNCT,"Chalabi has been increasingly marginalized within Iraq , however , despite his ties of clientelage with Washington and Tehran ."
31,"he is no longer in the dominant shiite list , the united iraqi alliance , and wo n't have many seats in the new parliament .",PRON AUX ADV ADV ADP DET ADJ ADJ NOUN PUNCT DET PROPN PROPN PROPN PUNCT CCONJ AUX PART VERB ADJ NOUN ADP DET ADJ NOUN PUNCT,"He is no longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament ."
32,"some 2,000 junior officers of the old baath army have been recalled to duty in recent months , something chalabi would have blocked if he could have .",DET NUM ADJ NOUN ADP DET ADJ PROPN NOUN AUX AUX VERB ADP NOUN ADP ADJ NOUN PUNCT PRON PROPN AUX AUX VERB SCONJ PRON AUX VERB PUNCT,"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
33,now the electoral commission is refusing to punish people for mere past baath party membership .,ADV DET PROPN PROPN AUX VERB PART VERB NOUN ADP ADJ ADJ PROPN PROPN NOUN PUNCT,Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .
34,the situation in iraq is only going to get better this way .,DET NOUN ADP PROPN AUX ADV VERB PART VERB ADJ DET NOUN PUNCT,The situation in Iraq is only going to get better this way .
35,"if someone committed a crime against humanity , prosecute the person .",SCONJ PRON VERB DET NOUN ADP NOUN PUNCT VERB DET NOUN PUNCT,"If someone committed a crime against humanity , prosecute the person ."
